#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
1744;mischen;to mix;Du musst die Farben mischen.;You must mix the colors.;verb;يخلّط;;;mix;;;
1745;herrscht;prevails;Hier herrscht Ruhe.;Silence prevails here.;verb;سائد / بيحكم;;;prevails;;;
1746;bedroht;threatened;Er fühlte sich bedroht.;He felt threatened.;verb;مهدَّد;;;threatened;;;
1747;abgeschnitten;cut off / isolated;Das Dorf ist vom Schnee abgeschnitten.;The village is cut off by the snow.;verb;مقطوع;;;cut off;;;
1748;Bedeutung;meaning / significance;Das hat große Bedeutung.;That has great significance.;noun;معنى / أهمية;f;;significance;;;
1749;Anführer;leader;Der Anführer geht voran.;The leader goes ahead.;noun;قائد;m;;leader;;;
1750;zurückbringen;to bring back;Kannst du das Buch zurückbringen?;Can you bring back the book?;verb;يرجّع;;;bring back;;;
1751;Täter;perpetrator;Der Täter wurde gerade gefasst.;The perpetrator was caught just now.;noun;جاني;m;;perpetrator;;;
1752;loslassen;to let go;Du musst deine Angst loslassen.;You have to let go of your fear.;verb;يسيّب / يطلق;;;let go;;;
1753;putzen;to clean (scrub, wipe, tidy);Ich muss die Küche putzen.;I have to clean the kitchen.;verb;ينضّف;;;clean;;;
1754;eindeutig;clear / unmistakable;Das ist eindeutig falsch.;That is clearly wrong.;adjective;واضح جداً;;;clearly;;;
1755;gelb;yellow;Das Auto ist gelb.;The car is yellow.;adjective;أصفر;;;yellow;;;
1756;neugierig;curious;Ich bin neugierig, was passiert.;I’m curious what happens.;adjective;فضولي;;;curious;;;
1757;dutzend;dozen;Ich kaufte ein Dutzend Eier.;I bought a dozen eggs.;noun;دستة;n;;dozen;;;
1758;Geschmack;taste;Der Geschmack ist echt fantastisch.;The taste is really fantastic.;noun;طعم / ذوق;m;;taste;;;
1759;hinterher;afterwards / behind;Ich laufe dir gleich hinterher.;I’ll run after you in a moment.;adverb;ورا / بعدين;;;after;;;
1760;uniform;uniform;Die Schüler tragen eine Uniform.;The students wear a uniform.;noun;يونيفورم / زي رسمي;f;;uniform;;;
1761;Bühne;stage;Er steht auf der Bühne.;He is standing on the stage.;noun;مسرح;f;;stage;;;
1762;Bart;beard;Er hat wirklich einen langen Bart.;He really has a long beard.;noun;دقن;m;;beard;;;
1763;Mittagessen;lunch;Was gibt es zum Mittagessen?;What’s for lunch?;noun;غدا;n;;lunch;;;
1764;Huhn;chicken;Ich esse gern Huhn.;I like eating chicken.;noun;فراخ / دجاج;n;;chicken;;;
1765;reingelegt;tricked / fooled;Du hast mich reingelegt!;You fooled me!;verb;ضحك عليه / نصبه;;;fooled;;;
1766;empfehlen;to recommend;Ich kann dieses Buch empfehlen.;I can recommend this book.;verb;ينصح;;;recommend;;;
1767;herrlich;wonderful / lovely;Das Wetter ist herrlich.;The weather is wonderful.;adjective;رائع / جميل قوي;;;wonderful;;;
1768;Tränen;tears;Sie hatte Tränen in den Augen.;She had tears in her eyes.;noun;دموع;f;;tears;;;
1769;strecke;stretch / distance;Die Strecke ist echt lang.;The route is really long.;noun;مسافة / طريق;f;;route;;;
1770;nachsehen;to check / look up;Ich muss das kurz nachsehen.;I need to check that quickly.;verb;يبصّ / يراجع / يشوف;;;check;;;
1771;figur;figure / body shape;Sie hat wirklich eine sportliche Figur.;She really has an athletic figure.;noun;شكل / جسم;f;;figure;;;
1772;tödlich;deadly;Das Gift ist tödlich.;The poison is deadly.;adjective;قاتل;;;deadly;;;
1773;Champagner;champagne;Wir trinken Champagner.;We’re drinking champagne.;noun;شامبانيا;m;;champagne;;;
1774;bewundere;I admire;Ich bewundere deinen Mut.;I admire your courage.;verb;بِعجب بـ;;;I admire;;;
1775;Vorteil;advantage;Das ist echt ein großer Vorteil.;That is really a big advantage.;noun;ميزة;m;;advantage;;;
1776;grausam;cruel;Das war eine grausame Tat.;That was a cruel act.;adjective;قاسي / وحشي;;;cruel;;;
1777;Kleidung;clothing;Deine Kleidung sieht gut aus.;Your clothing looks good.;noun;هدوم;f;;clothing;;;
1778;Müll;garbage / trash;Der Müll muss raus.;The trash needs to go out.;noun;زبالة;m;;trash;;;
1779;Pillen;pills;Sie nimmt ihre Pillen jeden Morgen.;She takes her pills every morning.;noun;حبوب;f;;pills;;;
1780;ahnen;to suspect / foresee;Ich konnte das nicht ahnen.;I couldn’t have known that.;verb;يشك / يحسّ;;;known;;;
1781;soviel;so much;Ich habe soviel zu tun.;I have so much to do.;vocab;كل ده / كتير كده;;;so much;;;
1782;Süden;south;Wir fahren in den Süden.;We are driving to the south.;vocab;الجنوب;;;south;;;
1783;entstehen;to arise/develop;Wie ist das Problem entstanden?;How did the problem arise?;verb;يتكوّن / ينشأ;;entstanden;arise;;;
1784;Krebs;cancer;Sein Vater hat Krebs.;His father has cancer.;vocab;سرطان;;;cancer;;;
1785;Menschheit;humanity;Die Zukunft der Menschheit liegt in unseren Händen.;The future of humanity is in our hands.;vocab;البشرية;;;humanity;;;
1786;positiv;positive;Versuch, positiv zu bleiben.;Try to stay positive.;vocab;إيجابي;;;positive;;;
1787;anschließen;to connect/join;Kannst du das Kabel anschließen?;Can you connect the cable?;verb;يوصل / يركّب;;;connect;;;
1788;verkehr;traffic;Der Verkehr ist heute schlimm.;The traffic is bad today.;vocab;مرور / زحمة;;;traffic;;;
1789;aussprechen;to pronounce;Kannst du meinen Namen richtig aussprechen?;Can you pronounce my name correctly?;verb;ينطق / يقول;;;pronounce;;;
1790;begeistert;excited;Ich bin wirklich begeistert!;I am really excited!;vocab;متحمّس;;;excited;;;
1791;Geiseln;hostages;Die Polizei hat die Geiseln befreit.;The police freed the hostages.;vocab;رهائن;;;hostages;;;
1792;Stoff;material;Das ist echt ein weicher Stoff.;This is really a soft material.;vocab;قماش / مادة;;;material;;;
1793;Geburt;birth;Die Geburt war echt schwierig.;The birth was really difficult.;vocab;ولادة;;;birth;;;
1794;funk;radio / signal;Der Funk funktioniert nicht.;The radio signal isn’t working.;vocab;لاسلكي;;;signal;;;
1795;sicht;view/sight;Die Sicht ist heute schlecht.;The visibility is bad today.;vocab;رؤية / منظر;;;visibility;;;
1796;Hammer;hammer;Gib mir bitte den Hammer.;Please give me the hammer.;vocab;شاكوش / مطرقة;;;hammer;;;
1797;Knopf;button;Drück den roten Knopf nicht!;Don’t press the red button!;vocab;زرار;;;button;;;
1798;spanisch;Spanish;Ich lerne spanisch.;I am learning Spanish.;vocab;إسباني;;;Spanish;;;
1799;grauen;dread;Mir graut es vor morgen.;I dread tomorrow.;verb;يرعب / فزع;;graut;dread;;;
1800;kotzen;to vomit;Mir ist schlecht, ich muss kotzen.;I feel sick, I need to vomit.;verb;يرجّع / يستفرغ (عامية);;;vomit;;;
1801;sanft;gentle;Er streichelte den Hund ganz sanft.;He petted the dog very gently.;vocab;هادئ / لطيف;;;gently;;;
1802;Hütte;hut/cabin;Wir übernachten in einer Hütte.;We are staying in a cabin.;vocab;كوخ;;;cabin;;;
1803;mitmachen;to join/participate;Willst du mitmachen?;Do you want to join?;verb;يشارك;;;join;;;
1804;Unterhaltung;entertainment/conversation;Die Unterhaltung war echt spannend.;The conversation was really interesting.;vocab;ترفيه;;;conversation;;;
1805;ausreden;to finish speaking;Lass mich bitte ausreden!;Please let me finish speaking!;verb;يعتذر بحجج / يقنعه يبطل;;;finish speaking;;;
1806;anlegen;to put on / invest;Ich muss schnell meine Jacke anlegen.;I need to put on my jacket quickly.;verb;يلبس / يركّب;;;put on;;;
1807;täglich;daily;Ich trinke täglich Kaffee.;I drink coffee daily.;adjective;يومياً;;;daily;;;
1808;dämlich;stupid/silly;Das war eine dämliche Idee.;That was a stupid idea.;adjective;غبي;;;stupid;;;
1809;Bürger;citizen;Jeder Bürger hat Rechte.;Every citizen has rights.;noun;مواطن;m;;citizen;;;
1810;Ereignisse;events;Die Ereignisse gestern waren überraschend.;The events yesterday were surprising.;noun;أحداث;n;;events;;;
1811;angeblich;supposedly;Er ist echt angeblich krank.;He is really supposedly sick.;adverb;المفروض / على حدّ ما;;;supposedly;;;
1812;Europa;Europe;Europa ist sehr vielfältig.;Europe is very diverse.;noun;أوروبا;n;;Europe;;;
1813;flehe;I beg;Ich flehe dich an, bleib hier!;I beg you, stay here!;verb;بتوسّل;;;I beg;;;
1814;einnehmen;to take (medicine)/occupy;Ich muss die Tabletten zweimal täglich einnehmen.;I must take the pills twice a day.;verb;ياخد (دواء) / يسيطر على;;;take;;;
1815;bedienen;to serve/operate;Kannst du die Maschine bedienen?;Can you operate the machine?;verb;يخدم / يشغّل;;;operate;;;
1816;auseinander;apart;Wir haben uns auseinander gelebt.;We’ve grown apart.;adverb;منفصل / متفكك;;;apart;;;
1817;verlaufen;to run/turn out/get lost;Die Party ist echt gut verlaufen.;The party really went well.;verb;يمشي / يحصل / يتوه (حسب السياق);;;went;;;
1818;heutigen;today's;Bei unserem heutigen Treffen…;At our meeting today…;adjective;بتاع النهارده;;;today;;;
1819;rasen;to race/speed;Er rast viel zu schnell.;He's driving way too fast.;verb;يجري بسرعة / يتهوّر;;rast;fast;;;
1820;Spion;spy;Er ist echt ein Spion.;He is really a spy.;noun;جاسوس;m;;spy;;;
1821;Betrieb;operation/company;Der Betrieb ist echt geschlossen.;The business is really closed.;noun;شركة / تشغيل;m;;business;;;
1822;wonach;after what/what…after;Wonach suchst du?;What are you looking for?;adverb;على إيه / بدوّر على إيه;;;What;;;
1823;Beeilung;hurry up;Beeilung! Wir sind spät dran!;Hurry! We’re running late!;noun;استعجال;f;;Hurry;;;
1824;Verhör;interrogation;Das Verhör dauerte drei Stunden.;The interrogation lasted three hours.;noun;تحقيق / استجواب;n;;interrogation;;;
1825;Anteil;share/portion;Er hat wirklich einen großen Anteil daran.;He really has a big share in it.;noun;نصيب / نسبة;m;;share;;;
1826;Fernseher;TV;Ich habe einen neuen Fernseher gekauft.;I bought a new TV.;noun;تلفزيون;m;;TV;;;
1827;Trauer;grief;Sie ist echt voller Trauer.;She is really full of grief.;noun;حزن / حداد;f;;grief;;;
1828;Terroristen;terrorists;Die Terroristen wurden gerade gefasst.;The terrorists were caught just now.;noun;إرهابيين;m;;terrorists;;;
1829;Bereich;area/field;In welchem Bereich arbeitest du?;In which field do you work?;noun;مجال / منطقة;m;;field;;;
1830;wiederkommen;to come back again;Ich komme morgen wieder.;I will come back tomorrow.;verb;يرجع تاني;;komme;come;;;
1831;Roman;novel;Ich lese gerade einen spannenden Roman.;I'm reading an exciting novel.;noun;رواية;m;;novel;;;
1832;zerbrochen;broken/shattered;Das Glas ist zerbrochen.;The glass is broken.;adjective;مكسور;;;broken;;;
1833;Nutte;prostitute (very vulgar);Er beschimpfte sie als Nutte.;He insulted her as a prostitute.;noun;شرموطة (شتيمة قوية);f;;prostitute;;;
1834;Scheck;check (bank);Hast du den Scheck eingelöst?;Did you cash the check?;noun;شيك;m;;check;;;
1835;Ermittlungen;investigation (criminal / police);Die Ermittlungen dauern an.;The investigations continue.;noun;تحقيقات;f;;investigations;;;
1836;Linie;line;Zieh eine gerade Linie.;Draw a straight line.;noun;خط;f;;line;;;
1837;Dunkelheit;darkness;Er verschwand in der Dunkelheit.;He disappeared into the darkness.;noun;ضلمة;f;;darkness;;;
1838;Charlotte;Charlotte (name);Charlotte kommt später.;Charlotte is coming later.;noun;شارلوت;;;Charlotte;;;
1839;Lippen;lips;Ihre Lippen sind ganz trocken.;Her lips are very dry.;noun;شفايف;f;;lips;;;
1840;Publikum;audience;Das Publikum klatschte laut.;The audience clapped loudly.;noun;جمهور;n;;audience;;;
1841;ergreifen;to seize/grab;Sie ergriff seine Hand.;She grabbed his hand.;verb;يمسك / يتخذ;;ergriff;grabbed;;;
1842;moderne;modern;Das ist sehr moderne Musik.;That is very modern music.;adjective;حديث;;;modern;;;
1843;Fingerabdrücke;fingerprints;Keine Fingerabdrücke wurden gefunden.;No fingerprints were found.;noun;بصمات;m;;fingerprints;;;
1844;dahinter;behind it;Was steckt dahinter?;What is behind it?;adverb;ورا ده;;;behind it;;;
1845;Folter;torture;Folter ist illegal.;Torture is illegal.;noun;تعذيب;f;;Torture;;;
1846;gleichzeitig;simultaneously;Sie sprachen gleichzeitig.;They spoke at the same time.;adverb;في نفس الوقت;;;same time;;;
1847;vereint;united / together (adjective after verb);Wir sind vereint stärker.;We are stronger united.;adjective;متحد;;;united;;;
1848;nass;wet;Meine Kleidung ist ganz nass.;My clothes are completely wet.;adjective;مبلول;;;wet;;;
1849;schock;shock;Der Unfall war echt ein Schock.;The accident was really a shock.;noun;صدمة;m;;shock;;;
1850;Block;block (city block);Wir wohnen im selben Block.;We live on the same block.;noun;بلوك / بلوك سكني;m;;block;;;
1851;abhalten;to prevent/hold back;Lass dich nicht abhalten!;Don’t let yourself be stopped!;verb;يمنع / يعقد (اجتماع);;;stopped;;;
1852;Sklaven;slaves;Die Sklaven wurden gerade befreit.;The slaves were freed just now.;noun;عبيد;m;;slaves;;;
1853;Verbrecher;criminal;Der Verbrecher wurde gerade gefasst.;The criminal was caught just now.;noun;مجرم;m;;criminal;;;
1854;abgefahren;awesome/crazy;Der Film war echt echt abgefahren.;The movie was really really crazy.;adjective;مجنون/جامد (عامية) / غادر (قطار);;;crazy;;;
1855;Tasse;cup;Ich trinke eine Tasse Kaffee.;I'm drinking a cup of coffee.;noun;كوباية;f;;cup;;;
1856;clever;clever/smart;Das war eine clevere Idee.;That was a clever idea.;adjective;ذكي / شاطر;;;clever;;;
1857;eilig;in a hurry;Ich habe es eilig.;I'm in a hurry.;adjective;مستعجل;;;in a hurry;;;
1858;Führer;leader/guide;Er war echt der Führer der Gruppe.;He was really the leader of the group.;noun;قائد / مرشد;m;;leader;;;
1859;typisch;typical;Das ist typisch für ihn.;That is typical of him.;adjective;طبيعي / معتاد;;;typical;;;
1860;Kids;kids;Die Kids spielen draußen.;The kids are playing outside.;noun;عيال / أطفال;n;;kids;;;
1861;knarre;gun (slang);Er hat wirklich eine Knarre dabei.;He really has a gun with him.;noun;فرد / مسدس (عامية);f;;gun;;;
1862;Heimat;home/homeland;Deutschland ist meine Heimat.;Germany is my homeland.;noun;وطن / بلد;f;;homeland;;;
1863;fakten;facts;Die Fakten sind echt eindeutig.;The facts are really clear.;noun;حقايق;n;;facts;;;
1864;Drachen;dragon/kite;Der Drache fliegt hoch.;The kite is flying high.;noun;تنين;m;Drache;kite;;;
1865;Chicago;Chicago;Ich war einmal in Chicago.;I was once in Chicago.;noun;شيكاغو;n;;Chicago;;;
1866;belogen;to deceive someone by lying;Er hat mich belogen.;He lied to me.;verb;كذب عليه;;;lied;;;
1867;Einladung;invitation;Danke für die Einladung!;Thanks for the invitation!;noun;عزومة / دعوة;f;;invitation;;;
1868;vierte;fourth;Das ist die vierte Aufgabe.;This is the fourth task.;adjective;الرابع/ة;;;fourth;;;
1869;Laura;Laura;Laura kommt später.;Laura is coming later.;noun;لورا;;;Laura;;;
1870;bescheuert;stupid/crazy;Das ist total bescheuert.;That is totally stupid.;adjective;غبي / أهبل (قوية شوية);;;stupid;;;
1871;Pech;bad luck;Ich hatte Pech heute.;I had bad luck today.;noun;نحس;n;;bad luck;;;
1872;Künstler;artist;Der Künstler arbeitet an einem neuen Bild.;The artist is working on a new painting.;noun;فنان;m;;artist;;;
1873;Korrektur;correction;Ich habe eine Korrektur gemacht.;I made a correction.;noun;تصحيح;f;;correction;;;
1874;Jungfrau;virgin;Sie ist echt eine Jungfrau.;She is really a virgin.;noun;عذراء;f;;virgin;;;
1875;China;China;China ist ein großes Land.;China is a big country.;noun;الصين;n;;China;;;
1876;Stil;style;Dein Stil gefällt mir.;I like your style.;noun;ستايل / أسلوب;m;;style;;;
1877;vergiftet;poisoned;Das Essen war vergiftet.;The food was poisoned.;verb;مسموم;;;poisoned;;;
1878;reingehen;to go in;Lass uns rein gehen.;Let's go inside.;verb;يدخل;;rein;go;;;
1879;Kopie;copy;Ich brauche eine Kopie davon.;I need a copy of that.;noun;نسخة;f;;copy;;;
1880;Basis;basis/foundation;Vertrauen ist die Basis jeder Beziehung.;Trust is the basis of every relationship.;noun;أساس;f;;basis;;;
1881;mittag;noon/midday;Wir sehen uns am Mittag.;We’ll see each other at noon.;noun;الضهر;m;;noon;;;
1882;Senator;senator;Der Senator hält eine Rede.;The senator is giving a speech.;noun;سيناتور;m;;senator;;;
1883;jo;yep/yeah (casual);Jo, das passt.;Yep, that works.;interjection;آه / أيوه;;;Yep;;;
1884;beschuldigt;accused;Er wurde gerade des Diebstahls beschuldigt.;He was accused of theft just now.;verb;اتهم;;;accused;;;
1885;fähig;capable;Sie ist echt fähig, das zu schaffen.;She is really capable of doing it.;adjective;قادر;;;capable;;;
1886;vergewaltigt;raped;Sie wurde gerade vergewaltigt.;She was raped just now.;verb;مغتصَب/ة (جريمة);;;raped;;;
1887;hiermit;hereby;Hiermit kündige ich meinen Vertrag.;I hereby cancel my contract.;adverb;بموجب هذا / بهذا;;;hereby;;;
1888;piepen;to beep;Der Wecker piept jeden Morgen.;The alarm beeps every morning.;verb;بيبّ / يزنّ;;piept;beeps;;;
1889;umziehen;to move / change clothes;Ich muss heute umziehen.;I have to move today.;verb;ينقل سكن / يغيّر هدومه;;;move;;;
1890;einkaufen;to shop;Ich gehe einkaufen.;I'm going shopping.;verb;يشتري حاجات;;;shopping;;;
1891;pflanzen;to plant;Wir pflanzen heute Blumen.;We're planting flowers today.;verb;يزرع / نباتات;;;planting;;;
1892;Patrick;Patrick;Patrick kommt später.;Patrick is coming later.;noun;باتريك;;;Patrick;;;
1893;befragen;to question/interview;Die Polizei befragt Zeugen.;The police question witnesses.;verb;يستجوب / يسأل;;befragt;question;;;
1894;verschlossen;locked/shut;Die Tür ist echt verschlossen.;The door is really locked.;adjective;مقفول / كتوم;;;locked;;;
1895;Abenteuer;adventure;Das war echt ein großes Abenteuer.;That was really a big adventure.;noun;مغامرة;n;;adventure;;;
1896;bekämpfen;to fight/combat;Wir müssen das Feuer bekämpfen.;We must fight the fire.;verb;يحارب;;;fight;;;
1897;Markt;market;Ich gehe zum Markt.;I'm going to the market.;noun;سوق;m;;market;;;
1898;Pizza;pizza;Ich möchte eine Pizza essen.;I want to eat a pizza.;noun;بيتزا;f;;pizza;;;
1899;hervorragend;excellent / outstanding;Das Essen war hervorragend.;The food was excellent.;adjective;ممتاز;;;excellent;;;
1900;Bursche;lad/guy;Er ist echt ein netter Bursche.;He's a nice guy.;noun;شاب / ولد;m;;guy;;;
1901;Text;text;Ich lese deinen Text später.;I'll read your text later.;noun;نص;m;;text;;;
1902;ausgelöst;triggered;Der Alarm wurde gerade ausgelöst.;The alarm was triggered just now.;verb;اتسبّب في / فعّل;;;triggered;;;
1903;zurückgelassen;left behind;Er hat seinen Koffer zurückgelassen.;He left his suitcase behind.;verb;ساب وراه;;;behind;;;
1904;Cent;cent;Das kostet nur einen Cent.;That costs only one cent.;noun;سنت;m;;cent;;;
1905;ausruhen;to rest;Ich muss mich kurz ausruhen.;I need to rest a bit.;verb;يرتاح;;;rest;;;
1906;korrekt;correct;Die Antwort ist echt korrekt.;The answer is really correct.;adjective;صح;;;correct;;;
1907;Brille;glasses;Ich brauche eine neue Brille.;I need new glasses.;noun;نضّارة;f;;glasses;;;
1908;Kim;Kim;Kim ist meine Freundin.;Kim is my friend.;noun;كيم;;;Kim;;;
1909;blonde;blonde;Ich nehme lieber die blonde Option.;I'd rather take the blonde option.;adjective;شقراء;;;blonde;;;
1910;trocken;dry;Meine Kleidung ist wieder trocken.;My clothes are dry again.;adjective;ناشف;;;dry;;;
1911;bestens;perfectly;Es läuft bestens.;Everything is going perfectly.;adverb;تمام / زي الفل;;;perfectly;;;
1912;Mitternacht;midnight;Ich war bis Mitternacht wach.;I was awake until midnight.;noun;نص الليل;f;;midnight;;;
1913;spritze;injection/needle;Der Arzt gibt mir eine Spritze.;The doctor gives me an injection.;noun;حقنة;f;;injection;;;
1914;elf;eleven;Ich war elf Jahre alt.;I was eleven years old.;number;حداشر;;;eleven;;;
1915;widerlich;revolting / repulsive;Das Essen war widerlich.;The food was disgusting.;adjective;مقرف;;;disgusting;;;
1916;Holmes;Holmes;Holmes ist ein berühmter Detektiv.;Holmes is a famous detective.;noun;هولمز;;;Holmes;;;
1917;rechtzeitig;on time;Wir müssen rechtzeitig ankommen.;We must arrive on time.;adverb;في الوقت المناسب;;;on time;;;
1918;momentan;currently;Ich habe momentan keine Zeit.;I currently have no time.;adverb;حالياً;;;currently;;;
1919;vorgehen;to proceed;Wir müssen vorsichtig vorgehen.;We need to proceed carefully.;verb;يتصرف / يتعامل;;;proceed;;;
1920;Leo;Leo;Leo hat angerufen.;Leo called.;noun;ليو;;;Leo;;;
1921;gnädige;gracious (formal);Ich nehme lieber die gnädige Option.;I'd rather take the gracious option.;adjective;حضرتك / يا ست الكل (قديم/رسمي);;;gracious;;;
1922;nützlich;useful;Das war sehr nützlich.;That was very useful.;adjective;مفيد;;;useful;;;
1923;Klienten;clients;Ich treffe heute meine Klienten.;I am meeting my clients today.;noun;عملاء;m;;clients;;;
1924;holz;wood;Der Tisch ist echt aus Holz.;The table is really made of wood.;noun;خشب;n;;wood;;;
1925;beteiligt;involved;Er war echt an dem Projekt beteiligt.;He was really involved in the project.;adjective;متورّط / مشارك;;;involved;;;
1926;fleck;stain/spot;Dein Shirt hat einen Fleck.;Your shirt has a stain.;noun;بقعة;m;;stain;;;
1927;Dummkopf;fool/idiot;Sei kein Dummkopf!;Don’t be an idiot!;noun;غبي;m;;idiot;;;
1928;genial;brilliant;Das ist eine geniale Idee.;That's a brilliant idea.;adjective;عبقري / جامد قوي;;;brilliant;;;
1929;verschaffen;to obtain/provide;Ich kann dir Zugang verschaffen.;I can get you access.;verb;يوفّر / يجيب;;;get;;;
1930;Klinik;clinic;Meine Mutter arbeitet in einer Klinik.;My mother works in a clinic.;noun;عيادة / مستشفى;f;;clinic;;;
1931;hacken;to chop / hack;Er muss das Holz hacken.;He has to chop the wood.;verb;يهكر / يقطّع;;;chop;;;
1932;Raumschiff;spaceship;Das Raumschiff startet in einer Stunde.;The spaceship launches in one hour.;noun;سفينة فضاء;n;;spaceship;;;
1933;Tunnel;tunnel;Wir fahren durch einen Tunnel.;We are driving through a tunnel.;noun;نفق;m;;tunnel;;;
1934;Störung;disturbance / malfunction;Es gibt eine technische Störung.;There is a technical malfunction.;noun;عطل / تشويش;f;;malfunction;;;
1935;Elena;Elena;Elena kommt später vorbei.;Elena will come by later.;noun;إيلينا;;;Elena;;;
1936;Experiment;experiment;Das Experiment war echt erfolgreich.;The experiment was really successful.;noun;تجربة;n;;experiment;;;
1937;flotte;fleet;Die flotte ist gerade unterwegs nach Süden.;The fleet is on its way south right now.;noun;سريعة / شطّورة;f;;fleet;;;
1938;heutzutage;nowadays;Heutzutage benutzt jeder ein Smartphone.;Nowadays everyone uses a smartphone.;adverb;دلوقتي / الأيام دي;;;Nowadays;;;
1939;krach;noise / crash;Was war das für ein Krach?;What was that noise?;noun;خناقة / دوشة;m;;noise;;;
1940;Wut;anger;Er war echt voller Wut.;He was really full of anger.;noun;غضب;f;;anger;;;
1941;pinkeln;to pee;Ich muss dringend pinkeln.;I urgently need to pee.;verb;يِتبول (عامية);;;pee;;;
1942;verlegen;embarrassed;Sie wurde gerade ganz verlegen.;She became very embarrassed just now.;adjective;مكسوف / مرتبك;;;embarrassed;;;
1943;regnet;rains / is raining;Es regnet schon den ganzen Tag.;It has been raining all day.;verb;بتمطر;;;been raining;;;
1944;sinken;to sink;Das Schiff beginnt zu sinken.;The ship is starting to sink.;verb;يغطس / ينزل;;;sink;;;
1945;Schnee;snow;Der Schnee liegt echt hoch.;The snow is really deep.;noun;تلج;m;;snow;;;
1946;verhandeln;to negotiate;Wir müssen den Preis verhandeln.;We need to negotiate the price.;verb;يتفاوض;;;negotiate;;;
1947;beherrschen;to master / control;Er beherrscht vier Sprachen.;He masters four languages.;verb;يتحكّم / يتقن;;beherrscht;masters;;;
1948;Scheißkerl;bastard / asshole;Du benimmst dich wie ein Scheißkerl.;You're acting like an asshole.;noun;ابن وسخة / خرا (شتيمة);m;;asshole;;;
1949;Krone;crown;Der König trägt eine goldene Krone.;The king wears a golden crown.;noun;تاج;f;;crown;;;
1950;breit;wide;Die Straße ist echt breit.;The street is really wide.;adjective;عريض;;;wide;;;
1951;entspricht;corresponds to;Das entspricht nicht der Wahrheit.;That doesn’t correspond to the truth.;verb;يناسب / يطابق;;;correspond to;;;
1952;wüste;desert;Die Wüste ist echt trocken und heiß.;The desert is really dry and hot.;noun;صحراء;f;;desert;;;
1953;Ewigkeit;eternity;Das dauerte eine Ewigkeit.;That took an eternity.;noun;أبدية / وقت طويل قوي;f;;eternity;;;
1954;umlegen;to kill (slang) / lay down;Er wollte ihn umlegen.;He wanted to kill him.;verb;يقتل / يوقع;;;kill;;;
1955;ordentlich;proper/neat;Dein Zimmer sieht ordentlich aus.;Your room looks neat.;adjective;مرتب / كويس;;;neat;;;
1956;Graf;count (noble title);Der Graf lebt in einem Schloss.;The count lives in a castle.;noun;كونت / جراف;m;;count;;;
1957;Puppe;doll;Das Mädchen spielt mit einer Puppe.;The girl is playing with a doll.;noun;عروسة (لعبة);f;;doll;;;
1958;vorwürfe;accusations;Er macht ihr gerade schwere Vorwürfe.;He is making serious accusations against her right now.;noun;اتهامات;m;;accusations;;;
1959;beunruhigt;disturbed / unsettled;Ich bin beunruhigt über die Nachrichten.;I’m worried about the news.;adjective;قلقان;;;worried;;;
1960;abgemacht;Deal! / its settled;Abgemacht, wir treffen uns morgen.;Agreed, we meet tomorrow.;adjective;اتفقنا;;;Agreed;;;
1961;elend;miserable;Ich fühle mich elend.;I feel miserable.;adjective;تعيس / مسكين;;;miserable;;;
1962;verärgert;annoyed;Sie ist echt über ihn verärgert.;She is really annoyed with him.;adjective;متضايق / معصّب;;;annoyed;;;
1963;Ausnahme;exception;Das ist echt eine Ausnahme.;That is really an exception.;noun;استثناء;f;;exception;;;
1964;aufgehoben;canceled / lifted;Die Regeln wurden gerade aufgehoben.;The rules were lifted just now.;verb;ملغي / محفوظ;;;lifted;;;
1965;braun;brown;Der Hund ist echt braun.;The dog is really brown.;adjective;بني;;;brown;;;
1966;sicherlich;certainly;Das ist sicherlich richtig.;That is certainly correct.;adverb;أكيد;;;certainly;;;
1967;Hurensohn;son of a bitch (very vulgar);Nenn mich nicht Hurensohn!;Don’t call me a son of a bitch!;noun;ابن شرموطة (شتيمة قوية);m;;son of a bitch;;;
1968;Sendung;show/broadcast;Die Sendung beginnt um acht.;The show starts at eight.;noun;برنامج / إرسال;f;;show;;;
1969;Ritter;knight;Der Ritter trägt eine Rüstung.;The knight is wearing armor.;noun;فارس;m;;knight;;;
1970;rächen;to avenge;Er will sich rächen.;He wants to take revenge.;verb;ينتقم;;;revenge;;;
1971;Leiter;leader/ladder (context);Der Leiter der Gruppe spricht.;The leader of the group is speaking.;noun;سُلّم;m;;leader;;;
1972;bequem;comfortable;Dieser Stuhl ist sehr bequem.;This chair is very comfortable.;adjective;مريح;;;comfortable;;;
1973;weibliche;female;Ich nehme lieber die weibliche Option.;I'd rather take the female option.;adjective;أنثى / نسائية;;;female;;;
1974;wehren;to defend oneself;Du musst dich wehren.;You have to defend yourself.;verb;يدافع عن نفسه;;;defend yourself;;;
1975;Stefan;Stefan;Stefan kommt später.;Stefan is coming later.;noun;ستيفان;;;Stefan;;;
1976;Schädel;skull;Der Schädel war echt beschädigt.;The skull was really damaged.;noun;جمجمة;m;;skull;;;
1977;Politik;politics;Politik interessiert mich wenig.;Politics interest me very little.;noun;سياسة;f;;Politics;;;
1978;rad;wheel / bike;Mein Rad ist kaputt.;My bike is broken.;noun;عجلة / درّاجة;n;;bike;;;
